    n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  591,         85805,           85225,             69,           ,             ,            
  592,         85877,           85296,             65,           ,             ,            
  593,         86307,           85725,             72,           ,             ,            
  594,         86429,           85846,             62,           ,             ,            
  595,         86796,           86212,             80,           ,             ,            
  596,         87188,           86603,             61,           ,             ,            
  597,         87587,           87001,             78,           ,             ,            
  598,         87715,           87128,             62,           ,             ,            
  599,         87775,           87187,             80,           ,             ,            
  600,         87938,           87349,             62,           ,             ,            
  601,         88183,           87593,             78,           ,             ,            
  602,         88551,           87960,             71,           ,             ,            
  603,         88742,           88150,             71,           ,             ,            
  604,         88868,           88275,             70,           ,             ,            
  605,         89258,           88664,             71,           ,             ,            
  606,         89456,           88861,             78,           ,             ,            
  607,         89593,           88997,             70,           ,             ,            
  608,         89886,           89289,             71,           ,             ,            
  609,         90410,           89812,             78,           ,             ,            
  610,         90761,           90162,             70,           ,             ,            
  611,         91157,           90557,             70,           ,             ,            
  612,         91691,           91090,             80,           ,             ,            
  613,         92128,           91526,             76,           ,             ,            
  614,         92142,           91539,             70,           ,             ,            
  615,         92153,           91549,             78,           ,             ,            
  616,         92626,           92021,             72,           ,             ,            
  617,         92907,           92301,             78,           ,             ,            
  618,         93290,           92683,             79,           ,             ,            
  619,         93876,           93268,             63,           ,             ,            
  620,         94042,           93433,             79,           ,             ,            
  621,         94545,           93935,             78,           ,             ,            
  622,         94983,           94372,             62,           ,             ,            
  623,         95040,           94428,             78,           ,             ,            
  624,         95146,           94533,             78,           ,             ,            
  625,         95708,           95094,             62,           ,             ,            
  626,         96322,           95707,             63,           ,             ,            
  627,         96859,           96243,             78,           ,             ,            
  628,         97318,           96701,             78,           ,             ,            
  629,         97391,           96773,             79,           ,             ,            
  630,         98010,           97391,             61,           ,             ,            
  631,         98590,           97970,             63,           ,             ,            
  632,         99062,           98441,             78,           ,             ,            
  633,         99128,           98506,             81,           ,             ,            
  634,         99613,           98990,             75,           ,             ,            
  635,         99778,           99154,             94,           ,             ,            
  636,        100093,           99468,             80,           ,             ,            
  637,        100139,           99513,             77,           ,             ,            
  638,        100592,           99965,             78,           ,             ,            
  639,        100757,          100129,             78,           ,             ,            
  640,        100880,          100251,             94,           ,             ,            
  641,        101454,          100824,             78,           ,             ,            
  642,        101809,          101178,             78,           ,             ,            
  643,        102393,          101761,             78,           ,             ,            
  644,        102395,          101762,             87,           ,             ,            
  645,        102517,          101883,             85,           ,             ,            
  646,        102554,          101919,             78,           ,             ,            
  647,        102670,          102034,             78,           ,             ,            
  648,        102757,          102120,             78,           ,             ,            
  649,        102837,          102199,             80,           ,             ,            
  650,        103193,          102554,             76,           ,             ,            
  651,        103678,          103038,             78,           ,             ,            
  652,        103970,          103329,             78,           ,             ,            
  653,        104108,          103466,             94,           ,             ,            
  654,        104710,          104067,             78,           ,             ,            
  655,        105298,          104654,             78,           ,             ,            
  656,        105448,          104803,             77,           ,             ,            
