   n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 295,         21889,           21599,             15,      43365,        21599,          31
 296,         22050,           21759,             15,      43660,        21759,          31
 297,         22113,           21821,             15,      43956,        21821,          31
 298,         22281,           21988,             15,      44253,        21988,          31
 299,         22519,           22225,             15,      44551,        22225,          31
 300,         22660,           22365,             31,      44850,        22365,          15
 301,         22837,           22541,             31,      45150,        22541,          31
 302,         23000,           22703,             16,      45451,        22703,          34
 303,         23234,           22936,             12,      45753,        22936,          31
 304,         23500,           23201,             15,      46056,        23201,          31
 305,         23716,           23416,             31,      46360,        23416,          18
 306,         23835,           23534,             15,      46665,        23534,          31
 307,         23868,           23566,             15,      46971,        23566,          31
 308,         23956,           23653,             31,      47278,        23653,          15
 309,         24159,           23855,             31,      47586,        23855,          32
 310,         24283,           23978,             15,      47895,        23978,          31
 311,         24463,           24157,             31,      48205,        24157,          31
 312,         24640,           24333,             15,      48516,        24333,          31
 313,         24713,           24405,             26,      48828,        24405,          21
 314,         24913,           24604,             31,      49141,        24604,          31
 315,         25215,           24905,             16,      49455,        24905,          46
 316,         25412,           25101,             15,      49770,        25101,          38
 317,         25450,           25138,             24,      50086,        25138,          31
 318,         25563,           25250,             15,      50403,        25250,          31
 319,         25664,           25350,             31,      50721,        25350,          31
 320,         25723,           25408,             15,      51040,        25408,          31
 321,         25726,           25410,             31,      51360,        25410,          31
 322,         25838,           25521,             24,      51681,        25521,          38
 323,         26112,           25794,             15,      52003,        25794,          31
 324,         26117,           25798,             31,      52326,        25798,          31
 325,         26323,           26003,             15,      52650,        26003,          31
 326,         26505,           26184,             15,      52975,        26184,          31
 327,         26575,           26253,             31,      53301,        26253,          33
 328,         26701,           26378,             29,      53628,        26378,          31
 329,         26782,           26458,             17,      53956,        26458,          45
 330,         26802,           26477,             15,      54285,        26477,          38
 331,         27120,           26794,             27,      54615,        26794,          43
 332,         27125,           26798,             31,      54946,        26798,          34
 333,         27374,           27046,             27,      55278,        27046,          33
 334,         27404,           27075,             29,      55611,        27075,          31
 335,         27492,           27162,             31,      55945,        27162,          31
 336,         27510,           27179,             31,      56280,        27179,          31
 337,         27759,           27427,             31,      56616,        27427,          31
 338,         27898,           27565,             31,      56953,        27565,          32
 339,         27964,           27630,             30,      57291,        27630,          31
 340,         28161,           27826,             31,      57630,        27826,          31
 341,         28339,           28003,             31,      57970,        28003,          32
 342,         28539,           28202,             30,      58311,        28202,          31
 343,         28844,           28506,             31,      58653,        28506,          31
 344,         28864,           28525,             31,      58996,        28525,          31
 345,         28870,           28530,             34,      59340,        28530,          28
 346,         29148,           28807,             33,      59685,        28807,          29
 347,         29470,           29128,             31,      60031,        29128,          46
 348,         29595,           29252,             16,      60378,        29252,          46
 349,         29832,           29488,             33,      60726,        29488,          45
 350,         30163,           29818,             31,      61075,        29818,          47
 351,         30196,           29850,             31,      61425,        29850,          31
 352,         30502,           30155,             31,      61776,        30155,          31
 353,         30661,           30313,             31,      62128,        30313,          47
 354,         30999,           30650,             31,      62481,        30650,          31
 355,         31235,           30885,             31,      62835,        30885,          46
 356,         31469,           31118,             15,      63190,        31118,          47
 357,         31496,           31144,             31,      63546,        31144,          31
 358,         31581,           31228,             31,      63903,        31228,          46
 359,         31903,           31549,             31,      64261,        31549,          31
 360,         31975,           31620,             31,      64620,        31620,          47
 361,         32202,           31846,             31,      64980,        31846,          31
 362,         32492,           32135,             36,      65341,        32135,          57
 363,         32704,           32346,             62,      65703,        32346,          46
 364,         33028,           32669,             31,      66066,        32669,          31
 365,         33065,           32705,             31,      66430,        32705,          47
 366,         33324,           32963,             36,      66795,        32963,          42
 367,         33516,           33154,             31,      67161,        33154,          31
 368,         33529,           33166,             31,      67528,        33166,          47
 369,         33717,           33353,             31,      67896,        33353,          47
 370,         33913,           33548,             31,      68265,        33548,          46
 371,         33997,           33631,             31,      68635,        33631,          41
 372,         34205,           33838,             21,      69006,        33838,          47
 373,         34466,           34098,             31,      69378,        34098,          48
 374,         34522,           34153,             30,      69751,        34153,          78
 375,         34531,           34161,             31,      70125,        34161,          53
 376,         34589,           34218,             25,      70500,        34218,          46
 377,         34803,           34431,             31,      70876,        34431,          46
 378,         35062,           34689,             31,      71253,        34689,          47
 379,         35257,           34883,             31,      71631,        34883,          47
 380,         35567,           35192,             31,      72010,        35192,          46
 381,         35938,           35562,             31,      72390,        35562,          46
 382,         36039,           35662,             36,      72771,        35662,          41
 383,         36421,           36043,             46,      73153,        36043,          47
 384,         36746,           36367,             31,      73536,        36367,          47
 385,         36972,           36592,             31,      73920,        36592,          54
 386,         37178,           36797,             24,      74305,        36797,          46
 387,         37310,           36928,             33,      74691,        36928,          46
 388,         37429,           37046,             46,      75078,        37046,          47
 389,         37507,           37123,             31,      75466,        37123,          47
 390,         37838,           37453,             31,      75855,        37453,          47
 391,         37984,           37598,             47,      76245,        37598,          51
 392,         38182,           37795,             26,      76636,        37795,          46
 393,         38499,           38111,             47,      77028,        38111,          46
 394,         38817,           38428,             32,      77421,        38428,          45
 395,         39153,           38763,             46,      77815,        38763,          47
 396,         39259,           38868,             31,      78210,        38868,          47
 397,         39562,           39170,             46,      78606,        39170,          47
 398,         39955,           39562,             31,      79003,        39562,          62
 399,         40252,           39858,             31,      79401,        39858,          46
 400,         40513,           40118,             47,      79800,        40118,          46
 401,         40634,           40238,             31,      80200,        40238,          62
 402,         40717,           40320,             31,      80601,        40320,          62
 403,         40951,           40553,             34,      81003,        40553,          44
 404,         41354,           40956,             46,      81406,        40956,          47
 405,         41362,           40963,             46,      81810,        40963,          47
 406,         41431,           41031,             31,      82215,        41031,          62
 407,         41509,           41108,             31,      82621,        41108,          62
 408,         41828,           41426,             31,      83028,        41426,          62
 409,         42131,           41728,             31,      83436,        41728,          62
 410,         42475,           42071,             46,      83845,        42071,          94
 411,         42871,           42466,             31,      84255,        42466,          62
 412,         43063,           42657,             62,      84666,        42657,          78
 413,         43172,           42765,             31,      85078,        42765,          62
 414,         43199,           42791,             31,      85491,        42791,          62
 415,         43481,           43072,             31,      85905,        43072,          62
 416,         43544,           43134,             47,      86320,        43134,          46
 417,         43648,           43237,             47,      86736,        43237,          46
 418,         43872,           43460,             46,      87153,        43460,          62
 419,         43979,           43566,             37,      87571,        43566,          56
 420,         44099,           43685,             43,      87990,        43685,          50
 421,         44243,           43828,             49,      88410,        43828,          44
 422,         44443,           44027,             46,      88831,        44027,          53
 423,         44572,           44155,             31,      89253,        44155,          62
 424,         44961,           44543,             46,      89676,        44543,          47
 425,         45218,           44799,             46,      90100,        44799,          62
 426,         45420,           45000,             46,      90525,        45000,          47
 427,         45482,           45061,             46,      90951,        45061,          62
 428,         45531,           45109,             44,      91378,        45109,          49
 429,         45699,           45276,             50,      91806,        45276,          59
 430,         45713,           45289,             40,      92235,        45289,          53
 431,         45755,           45330,             46,      92665,        45330,          62
 432,         45808,           45382,             62,      93096,        45382,          78
 433,         46132,           45705,             46,      93528,        45705,          62
 434,         46327,           45899,             46,      93961,        45899,          47
 435,         46383,           45954,             46,      94395,        45954,          62
 436,         46533,           46103,             46,      94830,        46103,          62
 437,         46714,           46283,             31,      95266,        46283,          62
 438,         46827,           46395,             46,      95703,        46395,          62
 439,         46950,           46517,             46,      96141,        46517,          62
 440,         46984,           46550,             46,      96580,        46550,          62
 441,         47226,           46791,             31,      97020,        46791,          62
 442,         47280,           46844,             57,      97461,        46844,          52
 443,         47294,           46857,             47,      97903,        46857,          61
 444,         47481,           47043,             47,      98346,        47043,          62
 445,         47907,           47468,             47,      98790,        47468,          62
 446,         48298,           47858,             47,      99235,        47858,          62
 447,         48726,           48285,             47,      99681,        48285,          62
 448,         49080,           48638,             46,     100128,        48638,          62
 449,         49407,           48964,             46,     100576,        48964,          62
 450,         49779,           49335,             46,     101025,        49335,          62
 451,         50229,           49784,             47,     101475,        49784,          62
 452,         50238,           49792,             62,     101926,        49792,          62
 453,         50362,           49915,             47,     102378,        49915,          62
 454,         50539,           50091,             47,     102831,        50091,          79
 455,         50705,           50256,             46,     103285,        50256,          62
 456,         51056,           50606,             46,     103740,        50606,          62
 457,         51376,           50925,             46,     104196,        50925,          78
 458,         51488,           51036,             46,     104653,        51036,          62
 459,         51930,           51477,             46,     105111,        51477,          62
 460,         52211,           51757,             62,     105570,        51757,          62
 461,         52312,           51857,             47,     106030,        51857,          65
 462,         52337,           51881,             59,     106491,        51881,          62
 463,         52799,           52343,             46,     106953,        52343,          78
 464,         53153,           52696,             46,     107416,        52696,          62
 465,         53192,           52734,             47,     107880,        52734,          78
 466,         53218,           52759,             47,     108345,        52759,          78
 467,         53227,           52767,             46,     108811,        52767,          62
 468,         53438,           52977,             46,     109278,        52977,          78
 469,         53485,           53023,             46,     109746,        53023,          78
 470,         53747,           53284,             78,     110215,        53284,          94
 471,         54169,           53705,             46,     110685,        53705,          62
 472,         54200,           53735,             62,     111156,        53735,          94
 473,         54556,           54090,             62,     111628,        54090,          77
 474,         54867,           54400,             46,     112101,        54400,          62
 475,         55113,           54645,             62,     112575,        54645,          62
 476,         55459,           54990,             62,     113050,        54990,          62
 477,         55930,           55460,             62,     113526,        55460,          62
 478,         55935,           55464,             67,     114003,        55464,          73
 479,         56222,           55750,             62,     114481,        55750,          78
 480,         56383,           55910,             62,     114960,        55910,          62
 481,         56832,           56358,             62,     115440,        56358,          78
 482,         57118,           56643,             47,     115921,        56643,          78
 483,         57196,           56720,             46,     116403,        56720,          77
 484,         57220,           56743,             46,     116886,        56743,          86
 485,         57395,           56917,             55,     117370,        56917,          78
 486,         57517,           57038,             47,     117855,        57038,          78
 487,         57601,           57121,             62,     118341,        57121,          62
 488,         57607,           57126,             78,     118828,        57126,          94
 489,         57824,           57342,             62,     119316,        57342,          78
 490,         57908,           57425,             47,     119805,        57425,          78
 491,         58281,           57797,             47,     120295,        57797,          78
 492,         58762,           58277,             62,     120786,        58277,          78
 493,         59007,           58521,             46,     121278,        58521,          78
 494,         59048,           58561,             63,     121771,        58561,          78
 495,         59234,           58746,             46,     122265,        58746,          94
 496,         59578,           59089,             47,     122760,        59089,          78
 497,         59838,           59348,             62,     123256,        59348,          78
 498,         60039,           59548,             47,     123753,        59548,          78
 499,         60278,           59786,             63,     124251,        59786,          84
 500,         60441,           59948,             56,     124750,        59948,          78
 501,         60642,           60148,             62,     125250,        60148,          78
 502,         61134,           60639,             47,     125751,        60639,         109
 503,         61179,           60683,             94,           ,             ,            
 504,         61482,           60985,             62,           ,             ,            
 505,         61583,           61085,             47,           ,             ,            
 506,         61942,           61443,             64,           ,             ,            
 507,         62295,           61795,             60,           ,             ,            
 508,         62685,           62184,             47,           ,             ,            
 509,         63023,           62521,             62,           ,             ,            
 510,         63265,           62762,             62,           ,             ,            
 511,         63291,           62787,             62,           ,             ,            
 512,         63644,           63139,             47,           ,             ,            
 513,         64116,           63610,             62,           ,             ,            
 514,         64133,           63626,             62,           ,             ,            
 515,         64411,           63903,             62,           ,             ,            
 516,         64865,           64356,             48,           ,             ,            
 517,         65286,           64776,             61,           ,             ,            
 518,         65525,           65014,             62,           ,             ,            
 519,         65633,           65121,             62,           ,             ,            
 520,         66017,           65504,             62,           ,             ,            
 521,         66514,           66000,             62,           ,             ,            
 522,         66648,           66133,             62,           ,             ,            
 523,         67065,           66549,             62,           ,             ,            
 524,         67150,           66633,             62,           ,             ,            
 525,         67218,           66700,             62,           ,             ,            
 526,         67512,           66993,             62,           ,             ,            
 527,         67993,           67473,             62,           ,             ,            
 528,         68223,           67702,             79,           ,             ,            
 529,         68454,           67932,             78,           ,             ,            
 530,         68637,           68114,             62,           ,             ,            
 531,         69139,           68615,             62,           ,             ,            
 532,         69502,           68977,             62,           ,             ,            
 533,         69919,           69393,             62,           ,             ,            
 534,         70080,           69553,             62,           ,             ,            
 535,         70591,           70063,             62,           ,             ,            
 536,         70701,           70172,             78,           ,             ,            
 537,         70708,           70178,             94,           ,             ,            
 538,         70864,           70333,             62,           ,             ,            
 539,         71311,           70779,             64,           ,             ,            
 540,         71551,           71018,             60,           ,             ,            
 541,         71690,           71156,             78,           ,             ,            
 542,         72072,           71537,             78,           ,             ,            
 543,         72551,           72015,             94,           ,             ,            
 544,         72660,           72123,             62,           ,             ,            
 545,         73016,           72478,             78,           ,             ,            
 546,         73377,           72838,             62,           ,             ,            
