     n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
  4093,    85552,      45434,        53,     43934,           0,         32
  4094,    85583,      45461,        41,     43951,           0,         31
  4095,    85585,      45471,        52,     43994,           0,         26
  4096,    85651,      45501,        59,     43954,           0,         15
  4097,    85587,      45468,        63,     43966,           0,         16
  4098,    85651,      45486,        46,     43982,           0,         31
  4099,    85643,      45492,        52,     43998,           0,         29
  4100,    85704,      45548,        52,     44015,           0,         26
  4101,    85697,      45496,        48,     44011,           0,         28
  4102,    85722,      45538,        48,     44079,           0,         30
  4103,    85834,      45632,        46,     44104,           0,         31
  4104,    85751,      45538,        62,     44075,           0,         15
  4105,    85848,      45654,        47,     44079,           0,         32
  4106,    85861,      45618,        78,     44079,           0,         46
  4107,    85887,      45615,        47,     44098,           0,         31
  4108,    85983,      45700,        47,     44103,           0,         31
  4109,    85910,      45617,        59,     44103,           0,         18
  4110,    85976,      45675,        62,     44155,           0,         19
  4111,    86024,      45684,        50,     44164,           0,         30
  4112,    86078,      45736,        44,     44214,           0,         31
  4113,    85968,      45651,        48,     44213,           0,         31
  4114,    86052,      45701,        51,     44206,           0,         26
  4115,    86010,      45668,        46,     44222,           0,         31
  4116,    86116,      45775,        63,     44159,           0,         14
  4117,    86154,      45728,        46,     44166,           0,         31
  4118,    86168,      45790,        44,     44230,           0,         20
  4119,    86224,      45765,        47,     44236,           0,         31
  4120,    86170,      45777,        62,     44289,           0,         14
  4121,    86212,      45815,        46,     44272,           0,         31
  4122,    86213,      45791,        46,     44254,           0,         31
  4123,    86235,      45772,        47,     44268,           0,         33
  4124,    86262,      45818,        52,     44326,           0,         30
  4125,    86247,      45798,        57,     44291,           0,         15
  4126,    86277,      45803,        46,     44349,           0,         31
  4127,    86385,      45876,        46,     44311,           0,         31
  4128,    86396,      45896,        41,     44407,           0,         31
  4129,    86406,      45869,        47,     44410,           0,         15
  4130,    86468,      45967,        62,     44353,           0,         27
  4131,    86426,      45862,        76,     44393,           0,         46
  4132,    86435,      45882,        47,     44378,           0,         31
  4133,    86491,      45943,        62,     44391,           0,         15
  4134,    86448,      45908,        46,     44383,           0,         31
  4135,    86554,      46035,        46,     44432,           0,         34
  4136,    86563,      45976,        55,     44418,           0,         21
  4137,    86593,      46019,        47,     44441,           0,         15
  4138,    86578,      45990,        62,     44458,           0,         31
  4139,    86735,      46062,        46,     44452,           0,         31
  4140,    86736,      46072,        48,     44528,           0,         30
  4141,    86724,      46071,        46,     44536,           0,         42
  4142,    86752,      46087,        51,     44501,           0,         20
  4143,    86788,      46101,        48,     44550,           0,         25
  4144,    86828,      46125,        47,     44518,           0,         31
  4145,    86734,      46047,        47,     44524,           0,         19
  4146,    86778,      46115,        47,     44583,           0,         19
  4147,    86828,      46122,        46,     44580,           0,         31
  4148,    86860,      46128,        43,     44621,           0,         23
  4149,    86877,      46103,        47,     44632,           0,         31
  4150,    86943,      46167,        49,     44671,           0,         28
  4151,    86956,      46197,        62,     44668,           0,         16
  4152,    86964,      46198,        46,     44654,           0,         31
  4153,    86979,      46211,        47,     44648,           0,         31
  4154,    87027,      46243,        51,     44651,           0,         31
  4155,    87020,      46218,        58,     44666,           0,         31
  4156,    87089,      46260,        45,     44697,           0,         31
  4157,    87052,      46225,        46,     44696,           0,         31
  4158,    87113,      46298,        62,     44715,           0,         28
  4159,    87120,      46257,        46,     44727,           0,         31
  4160,    87119,      46273,        47,     44699,           0,         21
  4161,    87177,      46322,        47,     44707,           0,         31
  4162,    87182,      46288,        62,     44725,           0,         15
  4163,    87180,      46318,        46,     44763,           0,         31
  4164,    87216,      46340,        46,     44790,           0,         31
  4165,    87340,      46448,        47,     44806,           0,         31
  4166,    87340,      46383,        63,     44810,           0,         31
  4167,    87305,      46364,        47,     44808,           0,         31
  4168,    87351,      46400,        46,     44873,           0,         18
  4169,    87366,      46383,        96,     44893,           0,         43
