      n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
    337,         28281,           27951,             31,      56616,        27951,          31
    338,         28483,           28152,             15,      56953,        28152,          31
    339,         28486,           28154,             17,      57291,        28154,          30
    340,         28641,           28308,             33,      57630,        28308,          29
    341,         28845,           28511,             15,      57970,        28511,          32
    342,         29178,           28843,             15,      58311,        28843,          32
    343,         29454,           29118,             30,      58653,        29118,          16
    344,         29658,           29321,             31,      58996,        29321,          32
    345,         29955,           29617,             14,      59340,        29617,          31
    346,         30108,           29769,             15,      59685,        29769,          31
    347,         30162,           29822,             29,      60031,        29822,          18
    348,         30472,           30131,             31,      60378,        30131,          31
    349,         30510,           30168,             19,      60726,        30168,          28
    350,         30515,           30172,             17,      61075,        30172,          29
    351,         30662,           30318,             31,      61425,        30318,          34
    352,         30700,           30355,             12,      61776,        30355,          31
    353,         30716,           30370,             17,      62128,        30370,          30
    354,         30781,           30434,             32,      62481,        30434,          29
    355,         30919,           30571,             16,      62835,        30571,          31
    356,         31219,           30870,             31,      63190,        30870,          31
    357,         31438,           31088,             16,      63546,        31088,          30
    358,         31553,           31202,             17,      63903,        31202,          30
    359,         31632,           31280,             32,      64261,        31280,          30
    360,         31708,           31355,             15,      64620,        31355,          31
    361,         32058,           31704,             31,      64980,        31704,          31
    362,         32364,           32009,             21,      65341,        32009,          25
    363,         32675,           32319,             31,      65703,        32319,          31
    364,         33018,           32661,             18,      66066,        32661,          44
    365,         33071,           32713,             18,      66430,        32713,          37
    366,         33365,           33006,             22,      66795,        33006,          31
    367,         33653,           33293,             17,      67161,        33293,          37
    368,         33846,           33485,             24,      67528,        33485,          32
    369,         34042,           33680,             30,      67896,        33680,          30
    370,         34342,           33979,             31,      68265,        33979,          31
    371,         34397,           34033,             16,      68635,        34033,          46
    372,         34501,           34136,             17,      69006,        34136,          30
    373,         34811,           34445,             31,      69378,        34445,          31
    374,         34821,           34454,             31,      69751,        34454,          31
    375,         34932,           34564,             15,      70125,        34564,          47
    376,         35000,           34631,             16,      70500,        34631,          34
    377,         35092,           34722,             28,      70876,        34722,          33
    378,         35282,           34911,             29,      71253,        34911,          32
    379,         35497,           35125,             29,      71631,        35125,          33
    380,         35763,           35390,             30,      72010,        35390,          31
    381,         36059,           35685,             16,      72390,        35685,          46
    382,         36087,           35712,             17,      72771,        35712,          46
    383,         36459,           36083,             17,      73153,        36083,          45
    384,         36638,           36261,             23,      73536,        36261,          39
    385,         36684,           36306,             15,      73920,        36306,          47
    386,         36779,           36400,             17,      74305,        36400,          47
    387,         37025,           36645,             30,      74691,        36645,          31
    388,         37398,           37017,             31,      75078,        37017,          40
    389,         37458,           37076,             22,      75466,        37076,          31
    390,         37758,           37375,             31,      75855,        37375,          31
    391,         37844,           37460,             31,      76245,        37460,          31
    392,         37994,           37609,             31,      76636,        37609,          47
    393,         38198,           37812,             31,      77028,        37812,          31
    394,         38480,           38093,             32,      77421,        38093,          33
    395,         38493,           38105,             28,      77815,        38105,          47
    396,         38657,           38268,             15,      78210,        38268,          47
    397,         38673,           38283,             31,      78606,        38283,          31
    398,         38821,           38430,             31,      79003,        38430,          46
    399,         38889,           38497,             15,      79401,        38497,          47
    400,         39132,           38739,             32,      79800,        38739,          37
    401,         39440,           39046,             25,      80200,        39046,          45
    402,         39725,           39330,             28,      80601,        39330,          34
    403,         39850,           39454,             31,      81003,        39454,          34
    404,         40199,           39802,             32,      81406,        39802,          44
    405,         40402,           40004,             31,      81810,        40004,          31
    406,         40712,           40313,             31,      82215,        40313,          47
    407,         40892,           40492,             31,      82621,        40492,          31
    408,         41146,           40745,             31,      83028,        40745,          46
    409,         41218,           40816,             31,      83436,        40816,          31
    410,         41498,           41095,             31,      83845,        41095,          47
    411,         41750,           41346,             31,      84255,        41346,          47
    412,         41965,           41560,             21,      84666,        41560,          41
    413,         42057,           41651,             32,      85078,        41651,          46
    414,         42406,           41999,             31,      85491,        41999,          48
    415,         42663,           42255,             30,      85905,        42255,          35
    416,         42770,           42361,             34,      86320,        42361,          40
    417,         43184,           42774,             32,      86736,        42774,          46
    418,         43402,           42991,             31,      87153,        42991,          50
    419,         43560,           43148,             28,      87571,        43148,          46
    420,         43766,           43353,             31,      87990,        43353,          31
    421,         44179,           43765,             31,      88410,        43765,          46
    422,         44495,           44080,             31,      88831,        44080,          53
    423,         44906,           44490,             25,      89253,        44490,          47
    424,         45051,           44634,             31,      89676,        44634,          46
    425,         45452,           45034,             33,      90100,        45034,          45
    426,         45727,           45308,             33,      90525,        45308,          45
    427,         46139,           45719,             31,      90951,        45719,          46
    428,         46423,           46002,             31,      91378,        46002,          50
    429,         46503,           46081,             32,      91806,        46081,          41
    430,         46797,           46374,             46,      92235,        46374,          47
    431,         47026,           46602,             32,      92665,        46602,          45
    432,         47413,           46988,             31,      93096,        46988,          53
    433,         47659,           47233,             25,      93528,        47233,          46
    434,         47826,           47399,             47,      93961,        47399,          48
    435,         47932,           47504,             32,      94395,        47504,          44
    436,         48198,           47769,             31,      94830,        47769,          49
    437,         48238,           47808,             31,      95266,        47808,          46
    438,         48311,           47880,             47,      95703,        47880,          46
    439,         48555,           48123,             27,      96141,        48123,          47
    440,         48563,           48130,             31,      96580,        48130,          62
    441,         48990,           48556,             31,      97020,        48556,          46
    442,         49396,           48961,             47,      97461,        48961,          46
    443,         49508,           49072,             31,      97903,        49072,          47
    444,         49876,           49439,             46,      98346,        49439,          47
    445,         50003,           49565,             31,      98790,        49565,          47
    446,         50050,           49611,             31,      99235,        49611,          62
    447,         50155,           49715,             32,      99681,        49715,          61
    448,         50579,           50138,             31,     100128,        50138,          46
    449,         50650,           50208,             47,     100576,        50208,          47
    450,         50946,           50503,             47,     101025,        50503,          46
    451,         51050,           50606,             36,     101475,        50606,          58
    452,         51117,           50672,             41,     101926,        50672,          52
