    n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
  148,     1686,        936,         0,       888,           0,         15
  149,     1679,        930,         0,       895,           0,          0
  150,     1699,        945,         0,       903,           0,          0
  151,     1716,        945,         0,       915,           0,          0
  152,     1728,        958,         0,       925,           0,          0
  153,     1749,        973,         0,       931,           0,          0
  154,     1755,        973,         0,       931,           0,          0
  155,     1782,        989,         0,       935,           0,          0
  156,     1791,        991,         0,       951,           0,         15
  157,     1809,       1000,         0,       956,           0,          0
  158,     1826,       1007,         0,       953,           0,          0
  159,     1833,       1016,         0,       963,           0,          0
  160,     1845,       1023,         8,       982,           0,          0
  161,     1860,       1030,         0,       988,           0,          0
  162,     1877,       1035,         0,       994,           0,          0
  163,     1881,       1042,         0,      1001,           0,          0
  164,     1901,       1059,         8,       996,           0,          0
  165,     1909,       1050,         0,      1002,           0,          0
  166,     1918,       1056,         0,      1008,           0,          0
  167,     1944,       1071,         0,      1018,           0,          0
  168,     1963,       1083,         0,      1047,           0,          0
  169,     1969,       1093,         0,      1055,           0,          0
  170,     1989,       1097,         0,      1058,           0,          0
  171,     2003,       1101,         0,      1060,           0,          0
  172,     2023,       1111,         0,      1061,           0,          0
  173,     2047,       1131,         0,      1068,           0,          0
  174,     2062,       1139,         0,      1082,           0,          0
  175,     2074,       1136,         0,      1089,           0,          0
  176,     2091,       1153,         0,      1097,           0,          0
  177,     2090,       1149,         0,      1101,           0,         15
  178,     2101,       1145,         0,      1121,           0,          0
  179,     2114,       1166,         0,      1129,           0,          0
  180,     2133,       1180,         0,      1129,           0,          0
  181,     2149,       1189,         0,      1139,           0,          0
  182,     2166,       1197,         0,      1156,           0,          0
  183,     2172,       1200,         0,      1150,           0,          0
  184,     2189,       1205,        15,      1162,           0,          0
  185,     2207,       1220,         0,      1171,           0,          0
  186,     2230,       1229,         0,      1168,           0,          0
  187,     2232,       1239,         0,      1178,           0,          0
  188,     2260,       1238,         0,      1184,           0,          0
  189,     2247,       1221,         0,      1190,           0,          0
  190,     2277,       1247,         0,      1203,           0,         15
  191,     2302,       1266,         0,      1208,           0,          0
  192,     2323,       1280,         0,      1216,           0,          0
  193,     2328,       1280,         0,      1224,           0,          0
  194,     2339,       1289,         0,      1245,           0,          0
  195,     2356,       1302,         0,      1257,           0,          0
  196,     2359,       1293,         0,      1256,           0,          0
  197,     2381,       1317,        15,      1266,           0,          0
  198,     2396,       1319,         0,      1275,           0,          0
  199,     2411,       1330,         0,      1278,           0,          0
  200,     2424,       1333,         0,      1293,           0,          0
  201,     2449,       1353,         0,      1301,           0,          0
  202,     2456,       1350,         0,      1312,           0,          0
  203,     2470,       1362,        14,      1316,           0,          2
  204,     2490,       1372,         0,      1314,           0,          0
  205,     2513,       1393,         0,      1324,           0,          0
  206,     2527,       1387,         0,      1340,           0,          0
  207,     2551,       1404,         0,      1336,           0,          0
  208,     2553,       1406,         0,      1357,           0,          0
  209,     2571,       1412,         0,      1365,           0,          0
  210,     2594,       1428,        15,      1370,           0,          0
  211,     2609,       1433,         0,      1383,           0,          0
  212,     2628,       1447,         0,      1384,           0,          0
  213,     2634,       1449,         0,      1391,           0,          0
  214,     2660,       1466,         0,      1409,           0,          0
  215,     2682,       1480,         0,      1411,           0,         15
  216,     2690,       1487,         0,      1414,           0,          0
  217,     2699,       1483,         0,      1422,           0,          0
  218,     2705,       1486,         0,      1433,           0,          0
  219,     2719,       1497,         0,      1434,           0,          0
  220,     2743,       1505,         0,      1448,           0,          0
  221,     2758,       1517,        15,      1459,           0,          0
  222,     2779,       1534,         0,      1459,           0,          0
  223,     2787,       1532,         0,      1467,           0,          0
  224,     2801,       1542,         0,      1486,           0,          0
  225,     2802,       1537,         0,      1494,           0,          0
  226,     2830,       1551,         0,      1501,           0,          0
  227,     2840,       1570,        15,      1506,           0,          0
  228,     2857,       1577,         0,      1511,           0,          0
  229,     2881,       1593,         0,      1519,           0,          0
  230,     2899,       1594,         0,      1532,           0,          0
  231,     2926,       1609,         0,      1548,           0,          0
  232,     2928,       1619,        15,      1535,           0,          1
  233,     2927,       1610,         0,      1544,           0,          0
  234,     2968,       1639,         0,      1563,           0,          0
  235,     2967,       1628,         0,      1565,           0,          0
  236,     2994,       1646,         0,      1565,           0,          0
  237,     2998,       1649,         0,      1579,           0,         14
  238,     3011,       1655,         0,      1581,           0,          0
  239,     3038,       1673,         4,      1591,           0,          0
  240,     3037,       1667,         0,      1611,           0,          0
  241,     3076,       1690,         0,      1618,           0,          0
  242,     3079,       1691,         0,      1630,           0,          0
  243,     3095,       1703,         0,      1634,           0,          0
  244,     3110,       1708,         4,      1640,           0,          0
  245,     3123,       1718,         0,      1651,           0,          0
  246,     3138,       1730,         6,      1661,           0,          0
  247,     3151,       1743,         0,      1672,           0,          5
  248,     3166,       1742,         1,      1660,           0,          0
  249,     3186,       1758,         0,      1668,           0,          0
  250,     3205,       1767,         6,      1686,           0,          0
  251,     3227,       1783,         0,      1687,           0,          0
