     n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
   214,         11209,           11003,              0,      22791,        11003,          24
   215,         11381,           11174,              7,      23005,        11174,           0
   216,         11562,           11354,             15,      23220,        11354,          15
   217,         11688,           11479,              0,      23436,        11479,          15
   218,         11883,           11673,              0,      23653,        11673,          15
   219,         11889,           11678,             15,      23871,        11678,          15
   220,         12089,           11877,              1,      24090,        11877,          15
   221,         12166,           11953,              0,      24310,        11953,          15
   222,         12380,           12166,             15,      24531,        12166,          15
   223,         12573,           12358,              4,      24753,        12358,          11
   224,         12610,           12394,             15,      24976,        12394,           5
   225,         12613,           12396,             11,      25200,        12396,          15
   226,         12733,           12515,              0,      25425,        12515,          15
   227,         12959,           12740,             15,      25651,        12740,          15
   228,         13043,           12823,              0,      25878,        12823,          15
   229,         13080,           12859,             16,      26106,        12859,           0
   230,         13137,           12915,             15,      26335,        12915,          15
   231,         13248,           13025,              0,      26565,        13025,           0
   232,         13415,           13191,             15,      26796,        13191,          15
   233,         13554,           13329,             17,      27028,        13329,          14
   234,         13787,           13561,              0,      27261,        13561,          15
   235,         13894,           13667,             15,      27495,        13667,          15
   236,         13907,           13679,             15,      27730,        13679,           0
   237,         14003,           13774,             23,      27966,        13774,           8
   238,         14081,           13851,             15,      28203,        13851,          17
   239,         14098,           13867,              0,      28441,        13867,          14
   240,         14201,           13969,             15,      28680,        13969,          15
   241,         14331,           14098,             13,      28920,        14098,           3
   242,         14454,           14220,             15,      29161,        14220,          15
   243,         14456,           14221,             16,      29403,        14221,          15
   244,         14502,           14266,              0,      29646,        14266,          15
   245,         14653,           14416,             18,      29890,        14416,          13
   246,         14815,           14577,             15,      30135,        14577,          15
   247,         15032,           14793,              0,      30381,        14793,          15
   248,         15107,           14867,             15,      30628,        14867,          15
   249,         15273,           15032,             16,      30876,        15032,          15
   250,         15424,           15182,              0,      31125,        15182,          15
   251,         15600,           15357,             15,      31375,        15357,          15
   252,         15763,           15519,              0,      31626,        15519,          15
   253,         15847,           15602,             16,      31878,        15602,          15
   254,         15972,           15726,             15,      32131,        15726,          15
   255,         16014,           15767,             15,      32385,        15767,           0
   256,         16155,           15907,              0,      32640,        15907,          21
   257,         16314,           16065,             10,      32896,        16065,          15
   258,         16322,           16072,             17,      33153,        16072,          14
   259,         16367,           16116,              0,      33411,        16116,          15
   260,         16554,           16302,             15,      33670,        16302,          16
   261,         16663,           16410,             15,      33930,        16410,          15
   262,         16901,           16647,             15,      34191,        16647,          19
   263,         17051,           16796,             12,      34453,        16796,          17
   264,         17198,           16942,             14,      34716,        16942,          15
   265,         17409,           17152,              0,      34980,        17152,          31
   266,         17632,           17374,              0,      35245,        17374,          15
   267,         17717,           17458,             23,      35511,        17458,           8
   268,         17734,           17474,             15,      35778,        17474,          17
   269,         17973,           17712,             14,      36046,        17712,          15
   270,         18026,           17764,             15,      36315,        17764,          16
   271,         18118,           17855,             15,      36585,        17855,          15
   272,         18340,           18076,             15,      36856,        18076,          15
   273,         18417,           18152,             15,      37128,        18152,          19
   274,         18548,           18282,             12,      37401,        18282,          15
   275,         18815,           18548,             15,      37675,        18548,          15
   276,         18831,           18563,             15,      37950,        18563,          25
   277,         18897,           18628,              6,      38226,        18628,          15
   278,         19107,           18837,             15,      38503,        18837,          15
   279,         19209,           18938,             15,      38781,        18938,          15
   280,         19419,           19147,             15,      39060,        19147,          31
   281,         19572,           19299,              0,      39340,        19299,          31
   282,         19779,           19505,             15,      39621,        19505,          15
   283,         19925,           19650,             16,      39903,        19650,          15
   284,         20062,           19786,             15,      40186,        19786,          15
   285,         20068,           19791,             15,      40470,        19791,          15
   286,         20288,           20010,             16,      40755,        20010,          15
   287,         20401,           20122,             15,      41041,        20122,          15
   288,         20662,           20382,             15,      41328,        20382,          31
   289,         20843,           20562,             16,      41616,        20562,          15
   290,         20863,           20581,             15,      41905,        20581,          15
   291,         21110,           20827,             15,      42195,        20827,          24
   292,         21398,           21114,              7,      42486,        21114,          15
   293,         21545,           21260,             15,      42778,        21260,          35
   294,         21801,           21515,             12,      43071,        21515,          16
   295,         21810,           21523,             15,      43365,        21523,          15
   296,         22080,           21792,             15,      43660,        21792,          31
   297,         22363,           22074,             15,      43956,        22074,          16
   298,         22653,           22363,             15,      44253,        22363,          15
   299,         22813,           22522,             15,      44551,        22522,          31
   300,         22936,           22644,             16,      44850,        22644,          15
   301,         23007,           22714,             15,      45150,        22714,          31
   302,         23167,           22873,             15,      45451,        22873,          17
   303,         23398,           23103,             14,      45753,        23103,          31
   304,         23590,           23294,             15,      46056,        23294,          15
   305,         23884,           23587,             23,      46360,        23587,          24
   306,         24055,           23757,             15,      46665,        23757,          15
   307,         24133,           23834,             15,      46971,        23834,          31
   308,         24210,           23910,             17,      47278,        23910,          14
   309,         24511,           24210,             15,      47586,        24210,          31
   310,         24572,           24270,             19,      47895,        24270,          28
   311,         24805,           24502,             15,      48205,        24502,          15
   312,         24831,           24527,             15,      48516,        24527,          31
   313,         24846,           24541,             15,      48828,        24541,          15
   314,         24944,           24638,             15,      49141,        24638,          15
   315,         25160,           24853,             15,      49455,        24853,          31
   316,         25273,           24965,             15,      49770,        24965,          15
   317,         25459,           25150,             15,      50086,        25150,          16
   318,         25710,           25400,             15,      50403,        25400,          31
   319,         25766,           25455,             19,      50721,        25455,          28
   320,         25804,           25492,             15,      51040,        25492,          15
   321,         25905,           25592,             15,      51360,        25592,          31
   322,         25972,           25658,             18,      51681,        25658,          29
   323,         26081,           25766,             15,      52003,        25766,          31
   324,         26383,           26067,             15,      52326,        26067,          16
   325,         26665,           26348,             31,      52650,        26348,          15
   326,         26970,           26652,             15,      52975,        26652,          31
   327,         27292,           26973,             15,      53301,        26973,          31
   328,         27426,           27106,             15,      53628,        27106,          36
   329,         27745,           27424,             11,      53956,        27424,          31
   330,         27866,           27544,             15,      54285,        27544,          31
   331,         27947,           27624,             16,      54615,        27624,          31
   332,         28017,           27693,             31,      54946,        27693,          15
   333,         28032,           27707,             17,      55278,        27707,          15
   334,         28037,           27711,             31,      55611,        27711,          15
   335,         28290,           27963,             31,      55945,        27963,          15
   336,         28299,           27971,             31,      56280,        27971,          15
   337,         28614,           28285,             31,      56616,        28285,          31
   338,         28615,           28285,             15,      56953,        28285,          31
   339,         28741,           28410,             19,      57291,        28410,          27
   340,         28986,           28654,             15,      57630,        28654,          35
   341,         29227,           28894,             21,      57970,        28894,          22
   342,         29384,           29050,             31,      58311,        29050,          15
   343,         29500,           29165,             31,      58653,        29165,          31
   344,         29696,           29360,             15,      58996,        29360,          31
   345,         29887,           29550,             22,      59340,        29550,          25
   346,         30190,           29852,             31,      59685,        29852,          31
   347,         30300,           29961,             16,      60031,        29961,          31
   348,         30324,           29984,             15,      60378,        29984,          31
   349,         30543,           30202,             31,      60726,        30202,          15
   350,         30568,           30226,             31,      61075,        30226,          33
   351,         30650,           30307,             13,      61425,        30307,          31
   352,         30764,           30420,             31,      61776,        30420,          31
   353,         31067,           30722,             15,      62128,        30722,          31
   354,         31224,           30878,             15,      62481,        30878,          37
   355,         31259,           30912,             15,      62835,        30912,          31
   356,         31473,           31125,             15,      63190,        31125,          31
   357,         31690,           31341,             31,      63546,        31341,          31
   358,         31871,           31521,             15,      63903,        31521,          31
   359,         31935,           31584,             15,      64261,        31584,          31
   360,         32044,           31692,             31,      64620,        31692,          31
   361,         32287,           31934,             15,      64980,        31934,          46
   362,         32329,           31975,             16,      65341,        31975,          31
   363,         32664,           32309,             31,      65703,        32309,          31
   364,         32775,           32419,             16,      66066,        32419,          31
   365,         33091,           32734,             31,      66430,        32734,          31
   366,         33357,           32999,             15,      66795,        32999,          31
   367,         33411,           33052,             31,      67161,        33052,          31
   368,         33529,           33169,             31,      67528,        33169,          31
   369,         33730,           33369,             23,      67896,        33369,          23
   370,         34063,           33701,             31,      68265,        33701,          31
   371,         34115,           33752,             31,      68635,        33752,          31
   372,         34318,           33954,             15,      69006,        33954,          35
   373,         34675,           34310,             27,      69378,        34310,          31
   374,         35017,           34651,             31,      69751,        34651,          31
   375,         35191,           34824,             31,      70125,        34824,          31
   376,         35314,           34946,             16,      70500,        34946,          46
   377,         35408,           35039,             15,      70876,        35039,          38
   378,         35752,           35382,             25,      71253,        35382,          31
   379,         35781,           35410,             31,      71631,        35410,          31
   380,         36086,           35714,             31,      72010,        35714,          31
   381,         36156,           35783,             31,      72390,        35783,          31
   382,         36167,           35793,             31,      72771,        35793,          31
   383,         36177,           35802,             31,      73153,        35802,          31
   384,         36478,           36102,             31,      73536,        36102,          31
   385,         36492,           36115,             31,      73920,        36115,          36
   386,         36768,           36390,             26,      74305,        36390,          31
   387,         37094,           36715,             31,      74691,        36715,          31
   388,         37285,           36905,             31,      75078,        36905,          46
   389,         37488,           37107,             14,      75466,        37107,          46
   390,         37796,           37414,             31,      75855,        37414,          31
   391,         37926,           37543,             31,      76245,        37543,          47
   392,         38001,           37617,             31,      76636,        37617,          46
   393,         38197,           37812,             19,      77028,        37812,          43
   394,         38513,           38127,             31,      77421,        38127,          47
   395,         38599,           38212,             31,      77815,        38212,          31
   396,         38870,           38482,             31,      78210,        38482,          46
   397,         39113,           38724,             31,      78606,        38724,          31
   398,         39415,           39025,             15,      79003,        39025,          47
   399,         39681,           39290,             31,      79401,        39290,          46
   400,         39971,           39579,             31,      79800,        39579,          46
   401,         40095,           39702,             31,      80200,        39702,          31
   402,         40281,           39887,             31,      80601,        39887,          47
   403,         40353,           39958,             15,      81003,        39958,          46
   404,         40610,           40214,             31,      81406,        40214,          31
   405,         40841,           40444,             31,      81810,        40444,          47
   406,         41075,           40677,             31,      82215,        40677,          31
   407,         41265,           40866,             32,      82621,        40866,          45
   408,         41515,           41115,             31,      83028,        41115,          31
   409,         41850,           41449,             31,      83436,        41449,          46
   410,         41896,           41494,             31,      83845,        41494,          31
   411,         42184,           41781,             31,      84255,        41781,          47
   412,         42207,           41803,             31,      84666,        41803,          47
   413,         42471,           42066,             31,      85078,        42066,          31
   414,         42503,           42097,             31,      85491,        42097,          46
   415,         42589,           42182,             31,      85905,        42182,          47
   416,         42771,           42363,             31,      86320,        42363,          47
   417,         42785,           42376,             31,      86736,        42376,          31
   418,         42956,           42546,             34,      87153,        42546,          44
   419,         43374,           42964,             31,      87571,        42964,          47
   420,         43529,           43118,             31,      87990,        43118,          47
   421,         43882,           43470,             31,      88410,        43470,          31
   422,         44047,           43634,             36,      88831,        43634,          41
   423,         44415,           44001,             31,      89253,        44001,          62
   424,         44735,           44320,             31,      89676,        44320,          33
   425,         45002,           44586,             29,      90100,        44586,          46
   426,         45036,           44619,             36,      90525,        44619,          41
   427,         45116,           44698,             44,      90951,        44698,          33
   428,         45375,           44956,             31,      91378,        44956,          47
   429,         45492,           45072,             31,      91806,        45072,          56
   430,         45796,           45375,             37,      92235,        45375,          46
   431,         45989,           45567,             31,      92665,        45567,          46
   432,         46088,           45665,             31,      93096,        45665,          47
   433,         46102,           45678,             31,      93528,        45678,          47
   434,         46503,           46078,             31,      93961,        46078,          49
   435,         46891,           46465,             29,      94395,        46465,          46
   436,         47231,           46804,             47,      94830,        46804,          46
   437,         47526,           47098,             31,      95266,        47098,          46
   438,         47945,           47516,             31,      95703,        47516,          47
   439,         48245,           47815,             31,      96141,        47815,          62
   440,         48589,           48158,             31,      96580,        48158,          47
