    n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
 4035,    87344,      47407,        44,     24803,           0,         16
 4036,    87358,      47416,        46,     24887,           0,         17
 4037,    87387,      47424,        47,     24891,           0,         17
 4038,    87411,      47434,        53,     24838,           0,         10
 4039,    87438,      47453,        49,     24868,           0,         10
 4040,    87475,      47468,        47,     24903,           0,         15
 4041,    87493,      47483,        46,     24906,           0,         18
 4042,    87506,      47493,        44,     24908,           0,         15
 4043,    87533,      47504,        47,     24905,           0,         15
 4044,    87554,      47515,        46,     24956,           0,         15
 4045,    87577,      47524,        31,     24942,           0,         15
 4046,    87602,      47538,        56,     24931,           0,         11
 4047,    87626,      47554,        44,     24969,           0,         14
 4048,    87651,      47561,        47,     24938,           0,         15
 4049,    87674,      47580,        46,     24937,           0,         15
 4050,    87695,      47590,        47,     24953,           0,         15
 4051,    87716,      47597,        49,     24956,           0,         14
 4052,    87744,      47614,        47,     24993,           0,         15
 4053,    87761,      47619,        37,     24992,           0,          0
 4054,    87780,      47632,        38,     24988,           0,         20
 4055,    87817,      47658,        42,     24986,           0,         11
 4056,    87835,      47666,        50,     25037,           0,         10
 4057,    87859,      47677,        47,     25039,           0,         15
 4058,    87885,      47689,        47,     25047,           0,         15
 4059,    87913,      47704,        50,     25043,           0,         14
 4060,    87935,      47719,        45,     25044,           0,         15
 4061,    87962,      47737,        38,     25064,           0,         15
 4062,    87981,      47748,        31,     25077,           0,         24
 4063,    88003,      47754,        47,     25091,           0,         15
 4064,    88025,      47762,        45,     25085,           0,         13
 4065,    88054,      47782,        47,     25090,           0,         15
 4066,    88069,      47800,        47,     25133,           0,         15
 4067,    88105,      47808,        47,     25121,           0,         15
 4068,    88119,      47818,        62,     25160,           0,         19
 4069,    88149,      47829,        43,     25167,           0,         15
 4070,    88168,      47843,        41,     25144,           0,         21
 4071,    88196,      47854,        39,     25160,           0,          8
 4072,    88226,      47877,        47,     25176,           0,         15
 4073,    88241,      47889,        47,     25189,           0,         19
 4074,    88270,      47906,        43,     25173,           0,         15
 4075,    88291,      47908,        47,     25182,           0,         15
 4076,    88307,      47923,        46,     25220,           0,         17
 4077,    88336,      47931,        45,     25242,           0,         16
 4078,    88364,      47950,        52,     25200,           0,         10
 4079,    88385,      47968,        52,     25249,           0,          0
 4080,    88404,      47973,        47,     25228,           0,         15
 4081,    88436,      47987,        46,     25240,           0,         15
 4082,    88455,      48004,        46,     25281,           0,         19
 4083,    88478,      48013,        44,     25263,           0,         15
 4084,    88498,      48018,        46,     25284,           0,         16
 4085,    88529,      48042,        31,     25285,           0,         15
 4086,    88554,      48057,        42,     25312,           0,         15
 4087,    88574,      48061,        42,     25328,           0,         11
 4088,    88595,      48075,        31,     25330,           0,         15
 4089,    88618,      48084,        46,     25340,           0,         16
 4090,    88643,      48095,        48,     25343,           0,         15
 4091,    88670,      48115,        46,     25345,           0,         15
 4092,    88697,      48129,        46,     25372,           0,         15
 4093,    88714,      48142,        47,     25397,           0,         15
 4094,    88740,      48158,        46,     25394,           0,         15
 4095,    88758,      48170,        41,     25407,           0,         10
 4096,    88783,      48187,        41,     25375,           0,         15
 4097,    88826,      48214,        46,     25376,           0,         15
 4098,    88840,      48216,        47,     25415,           0,         15
 4099,    88868,      48233,        46,     25405,           0,         14
 4100,    88884,      48242,        31,     25404,           0,          0
 4101,    88920,      48264,        47,     25415,           0,         15
 4102,    88941,      48266,        46,     25399,           0,         15
 4103,    88971,      48287,        50,     25394,           0,         13
 4104,    89002,      48306,        47,     25441,           0,         13
 4105,    89021,      48312,        36,     25454,           0,         15
 4106,    89056,      48336,        31,     25445,           0,         31
 4107,    89070,      48336,        47,     25441,           0,         16
